상호명,날짜,업종,위도,경도,시도,시군구,읍면동1,읍면동2,이용자수,남성비율,여성비율,10대비율,20대비율,30대비율,40대비율,50대이상비율,데이터기준일
춘천명종닭갈비,2021-08-03,음식점,37.884539,127.765142,강원,춘천시,동면,만천리,156,54.41,45.59,16.2,14.72,22.47,27.13,19.48,2021-12-21
솔향기숯불닭갈비,2021-08-08,음식점,37.888389,127.685398,강원,춘천시,서면,현암리,154,55.37,44.63,11.76,15.97,19.75,24.71,27.81,2021-12-21
강산숯불닭갈비막국수,2021-08-05,음식점,37.930514,127.77852,강원,춘천시,신북읍,천전리,153,56.82,43.18,9.87,17.98,20.93,23.32,27.9,2021-12-21
춘천숯불닭갈비,2021-08-27,음식점,37.878825,127.72529,강원,춘천시,중앙로2가,,152,52.82,47.18,14.04,21.41,20.66,21.57,22.32,2021-12-21
인어의집(닭갈비),2021-08-01,음식점,37.837411,127.677404,강원,춘천시,신동면,의암리,151,59.55,40.45,8.91,19.28,18.93,20.45,32.43,2021-12-21
가온누리 닭갈비,2021-09-10,음식점,37.864579,127.75132,강원,춘천시,석사동,,149,50.38,49.62,15.57,21.29,19.3,21.82,22.02,2021-12-21
봄시내닭갈비,2021-09-16,음식점,37.873059,127.725521,강원,춘천시,약사동,,147,53.86,46.14,14.27,21.86,20.33,21.32,22.22,2021-12-21
참나무숯불닭갈비,2021-07-31,음식점,37.876814,127.75374,강원,춘천시,후평동,,146,50.91,49.09,0,11.11,33.34,33.33,22.22,2021-12-21
축제닭갈비,2021-08-22,음식점,37.857731,127.75535,강원,춘천시,동내면,거두리,146,55.48,44.52,12.5,17.98,24.25,24.5,20.77,2021-12-21
예원참숯닭갈비,2021-09-26,음식점,37.854134,127.711591,강원,춘천시,온의동,,139,52.94,47.06,13.41,21,22.65,23.01,19.93,2021-12-21
사내래닭갈비,2021-10-11,음식점,37.816295,127.71566,강원,춘천시,신동면,증리,136,53.38,46.62,11.01,21.37,20.72,22.88,24.02,2021-12-21
한가족숯불닭갈비,2021-09-29,음식점,37.819032,127.717568,강원,춘천시,신동면,증리,102,57.42,42.58,9.77,20.17,19.36,21.76,28.94,2021-12-21
